Das Abitur,School Leaving Exam
Sich Bewerben,Make an Application
Die Bewerbung,Application
Die Bibliothek,Library
Die Erfahrung,Experience
Erklären,To explain
Das Fach,Subject
Faul,Lazy
Die Grundscule,Primary School
Die Gruppe,Group
Der Kellner,Waiter
Die Kenntnisse,Knowledge
Kompliziert,Complicated
Langsam,Slowly
Langweilig,Boring
Laut,Loud
Leise,Quiet
Leistung,Performance
Lösen,To solve
Die Lösung,Solution
Die Meinung,Opinion
Die Mitteilung,Communication
Die Note (-n),Note/Mark(-s)
Notieren,To take note
Die Notiz,Notice
Die Oberschule,Secondary school
Rechnen,To calculate/To count
Recht Haben,To be right
Der Schreibblock,Writing Pad
Schwierig (-keiten),Difficult(-ies)
,
Der Tipp,Tip
Üben,Exercise
Die Universtät,University
Übersetzen,To translate
Verstehen,To understand
Wählen,To choose
Wiederholen,To Repeat
Der Ball,Ball
Die band,Band
Der basketball,Basketball
Basteln,To make/build
Der Berg,Mountain
Besischtigen,To visit (Historical)
Der Campingplatzt,Campsite
Der Comic,Comic
Das Computerspiel,Computer Game
Das Fest,Festival
Der Flohmarkt,Flea market
Frei haben,To have free time
Die gitarre,Guitar
Die Gruppe,Group
Die Katze,Cat
Das Klavier,Piano
Das Konzert,Concert
Der Krimi,Thriller
Die Kultur,Culture
Die Kunst,Art/Skill
Das Lied,"Song, Tune"
Die Oper,Opera
Das Pferd,Horse
,
Das Programm,Program
Reiten,To ride
Der Rucksack,Back-pack
Das Schwimmbad,Swimming- pool
Schwimmen,To swim
Der See / Die See,Lake / Sea
Sich Freuen,To be happy
Sich Interresiert,To be interested
Sich Treffen,To meet
Singen,To sing
Die Sporthalle,Sport-hall
Stattfinden,To take place
Steigen,Rise/Increase
Der Strand,Beach
Teilnehmen,To participate
Das Theater,Theatre
Das Tier,Animal
Das Training,Training
Verabredet Sein,Arranged/Fixed
Der Verein,Club
Der Vogel,Bird
Vorschlagen,To Suggest
Der Wald,Forest
Der Weg,Path/Way
,
Aktiv Sein,To be active
Die Angst,Fear
Die Apotheke,Pharmacy
Bleiben,To Stay
,
,
Das Blut,Blood
Erkältet Sein,To be cold
Fehlen,To miss
Fit Sein,To be fit
Gesund,Healthy
Die Grippe,Flu
Der Hals,Throat
Heiß,Hot
Das Krankenhaus,Hospital
Das Medikament,Medicine
Das Rezept,Receipt / Prescription
Der Rücken,Back
Die Ruhe,Peace
Schädlich,Sadly
Der Schmerz,Pain
Sich Fühlen,To feel
Die Sprechstunde,Consulting Hours
Stark,Strong
Der Stress,Stress
Die Tablette,Tablet
Tot,Dead
Unbedingt,Necessary
Der Unfall,Accident
Ungesund,Unhealthy
Verboten Sein,To be prohibited
Verletzt Sein,To be injured
Vorsichtig Sein,To be careful
Wehtun,Hurt
Der Zahn (Die Zähne),Tooth (Teeth)
Der Appetit,Appetite
,
Backen,To bake
Bestellen,Order
Braten,To Roast/Fry
Die Bratwurst,Fried Sausage
Die Cola,Cola
Das Eis,Ice/Ice-Cream
Frühstücken,To have Breakfast
Die Gabel,Fork
Das Gemüse,Vegetable
Das Getränk,Beverages
Der Hamburger,Hamburger
Der Joghurt,Yoghurt
Der Kaffee,Coffee
Der Käse,Cheese
Der Löffel,Spoon
Die Marmelade,Jam
Das Messer,Blade/Knife
Die Milch,Milk
Das Mineral Wasser,Mineral Water
Das Mittagessen,Lunch
Das Müsli,Muslie / Cereals
Die Nudel,Noodles
Probieren,To try
Das Salz,Salt
Sauer,Sour
Scheußlich,Horrible/Hideous
Schmecken,To taste
Die Schokolade,Chocolate
Die Soße,Sauce
Die Suppe,Soup
,
Die Sußigkeiten,Sweets
Die Torte,Cake/Pie
Vorbereiten,Prepare
Der Wein,Wine
Die Wurst,Sausage
Die Würstchen,Sausages
Bedeuten,To mean
Besetzt,Occupied
Dru:cken,To press
Drucken,To print
Die DVD,DVD
Der Empfänger,Receiver
Erzählen,To narrate / to tell
Fernsehen,To watch TV
Das Fersehen,TV
Der Fernseher,TV
Die Homepage,Homepage
Informieren,To inform
Interessant,Interesting
Das Interesse,Interest
Sich Intressieren,To be interested
Der Journalist,Journalist
Der Laptop,Laptop
Die Nachschrift,News
Nützlich,Useful
Die Presse,Press
Das Radio,Radio
Schicken,To send
Schreiben,To write
Die Sendung,Broadcasting/Show
,
,
Die Sevice,Service
Das Smartphone,Smartphone
Surfen,To surf
"Viel,Mehr,am Meisten","Much,More,most"
Wiederhören,To hear you again
Anziehen,To dress
Aufräumen,To Clean/Tidy up
Ausstehen,To bear / To be outstanding / To be due
Die Bäckerei,Bakery
Billig / Günstig,Cheap
Der Eingang,Entry
Frisch,Fresh
Das Geshäft,Shop
Die Lebensmittel,Grocery/Meal
Das Mittagessen,Lunch
Das Abendessen,Dinner
Mittags,At noon
Mittag,Noon
Der Morgen,Morning
Morgens,At morning
Nachts,At night
Die Nacht,Night
Das Pfund,Pound
Das Portemonnaie,Wallet
Putzen,To clean
Schlafen,To sleep
Der Sport (Sporaten),Sport (-s)
Der Spaziergang,"Walk,stroll"
Der Tagesablauf,Schedule (daily)
Täglich,Daily
,
Die Ampel,Traffic Light
Ärgern,Angry
Aufpassen,To take care
Ausländer,Foreigner
Auspacken,To Unpack
Aussteigen,To get out
Berühmt / Belibt,Famous/Popular
Einsteigen,To get in
Erreichen,"To reach (a goal), accomplish"
Der Fahrplan,Travel Timetable/Schedule
Die Ferien,Holiday/Vacation
Der Fotoapparat,Camera
Zu Fuß Gehen,To go by foot
Die Grenze,Border
Die Insel,Island
Die Jugendherberge,Hostel
Die Jugendliche,Youth
Der Jugendlicher,Youngster
Jung,Young
Junge,Boy
Junge Leute,Young People
Die Kamera,Camera
Die Kreuzung,Crossing
Die Landkarte,MAP
Die Landschaft,Landscape/Countryside
Langweilig,Boring
Die Lust,Interest/Passion
Lustig,Funny/Interesting
Das Motorrad,Motorcycle
,
,
Die Nähe,Nearby/Close
Die Natur,Nature
Die Pension,Guesthouse
Das Fahrrad,Bicycle
Rad Fahren,To ride bicycle
Die Rundfahrt,City-Tour
Die S-Bahn,Sub-urban Train
Die Straßenbahn,Tram
Toll,Super
Der Tourist,Tourist
Die U-bahn (Untergrund-bahn),Underground train
Verboten Sein,To be prohibited
Der Verkehr,Transport
Das Verkehrsmittel,Mode of transport
Die Verspätung,Delay
Die Welt,World
,
Beliebt,Popular
Da Sein,To be there
Diskutieren,To discuss
Dumm,Dumb
Der Geburtstag,Birthday
Gefallen,"To please, to like"
Geschwister,Siblings
Getrennt Leben,To live separately
Glücklich,Luckily
Intelligent,Intelligent
Die kleidung,Clothes
Lachen,To laugh
Meinen,"To give opinion, to mean"
,
Neu,New
Passen,Fit/match
Passieren,To pass
Ruhig,Peace
Streiten,To argue
Sympathisch,Sympathetic
Unfreundlich,Unfriendly
Verschieden,Different
Zusammen,Together
,
Sich Kennenlernen,To get to know each other
Geboren,To be born
Der Familienstand,Marital Status
Die Kinder,Children
Ledig,Single
Die Postleitzahl,Postal-Code/Pincode
Zuordnen,To Match/ To assign
Der Begriff (-e),Concept/Term(-s)
Die Visitenkarte,Visiting card
Die Beziehung,Relation
Geschieden,Divorced
Getrennt,Separate
Die Angabe(-n),Information/Statement(-s)
Die Stadt,City
Das Alter,Age
Das Geburtsland,Birthplace – as in country
,
,
Die Frau,"Wife , Lady"
Ehepartner,Spouse (male)
,
Ehepartnerin,Spouse (female)
Gehören,To belong
Nebenan,Next door
Nachbar,Neighbour
